Java HotSpot(TM) 64-Bit Server VM (25.65-b01) for linux-amd64 JRE (1.8.0_65-b17), built on Oct  6 2015 17:16:12 by "java_re" with gcc 4.3.0 20080428 (Red Hat 4.3.0-8)
Memory: 4k page, physical 32862844k(6189448k free), swap 0k(0k free)
CommandLine flags: -XX:InitialHeapSize=134217728 -XX:MaxHeapSize=134217728 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:-UseAdaptiveSizePolicy -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseParallelGC 
24.096: [GC (Allocation Failure) [PSYoungGen: 33376K->64K(38400K)] 77594K->44298K(125952K), 0.0065025 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
24.431: [GC (Allocation Failure) [PSYoungGen: 33344K->64K(38400K)] 77578K->44306K(125952K), 0.0053500 secs] [Times: user=0.02 sys=0.01, real=0.01 secs] 
24.719: [GC (Allocation Failure) [PSYoungGen: 33344K->160K(38400K)] 77586K->44418K(125952K), 0.0049697 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
24.997: [GC (Allocation Failure) [PSYoungGen: 33440K->256K(38400K)] 77698K->44514K(125952K), 0.0039871 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
25.278: [GC (Allocation Failure) [PSYoungGen: 33536K->320K(38400K)] 77794K->44578K(125952K), 0.0048099 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
25.525: [GC (Allocation Failure) [PSYoungGen: 33600K->416K(38400K)] 77858K->44674K(125952K), 0.0057413 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
25.773: [GC (Allocation Failure) [PSYoungGen: 33696K->384K(38400K)] 77954K->44650K(125952K), 0.0049273 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
26.034: [GC (Allocation Failure) [PSYoungGen: 33664K->384K(38400K)] 77930K->44658K(125952K), 0.0048527 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
26.283: [GC (Allocation Failure) [PSYoungGen: 33664K->352K(38400K)] 77938K->44634K(125952K), 0.0058835 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
26.595: [GC (Allocation Failure) [PSYoungGen: 33632K->352K(38400K)] 77914K->44650K(125952K), 0.0049416 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
26.909: [GC (Allocation Failure) [PSYoungGen: 33632K->320K(38400K)] 77930K->44618K(125952K), 0.0062172 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
27.151: [GC (Allocation Failure) [PSYoungGen: 33600K->320K(38400K)] 77898K->44634K(125952K), 0.0053769 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
27.415: [GC (Allocation Failure) [PSYoungGen: 33593K->320K(38400K)] 77908K->44642K(125952K), 0.0049317 secs] [Times: user=0.01 sys=0.01, real=0.01 secs] 
27.845: [GC (Allocation Failure) [PSYoungGen: 33600K->384K(38400K)] 77922K->44722K(125952K), 0.0053266 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
28.088: [GC (Allocation Failure) [PSYoungGen: 33664K->352K(38400K)] 78002K->44690K(125952K), 0.0047059 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
28.376: [GC (Allocation Failure) [PSYoungGen: 33632K->384K(38400K)] 77970K->44746K(125952K), 0.0052360 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
28.696: [GC (Allocation Failure) [PSYoungGen: 33664K->352K(38400K)] 78026K->44730K(125952K), 0.0065008 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
28.986: [GC (Allocation Failure) [PSYoungGen: 33632K->288K(38400K)] 78010K->44730K(125952K), 0.0052439 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
29.285: [GC (Allocation Failure) [PSYoungGen: 33568K->160K(38400K)] 78010K->44698K(125952K), 0.0049414 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
29.663: [GC (Allocation Failure) [PSYoungGen: 33440K->160K(38400K)] 77978K->44802K(125952K), 0.0044466 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
29.956: [GC (Allocation Failure) [PSYoungGen: 33440K->128K(38400K)] 78082K->44818K(125952K), 0.0045153 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
30.209: [GC (Allocation Failure) [PSYoungGen: 33408K->160K(38400K)] 78098K->44866K(125952K), 0.0046066 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
30.487: [GC (Allocation Failure) [PSYoungGen: 33440K->224K(38400K)] 78146K->44930K(125952K), 0.0047923 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
30.788: [GC (Allocation Failure) [PSYoungGen: 33504K->288K(38400K)] 78210K->45026K(125952K), 0.0046303 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
31.301: [GC (Allocation Failure) [PSYoungGen: 33568K->320K(38400K)] 78306K->45066K(125952K), 0.0045779 secs] [Times: user=0.01 sys=0.01, real=0.00 secs] 
