Java HotSpot(TM) 64-Bit Server VM (25.65-b01) for linux-amd64 JRE (1.8.0_65-b17), built on Oct  6 2015 17:16:12 by "java_re" with gcc 4.3.0 20080428 (Red Hat 4.3.0-8)
Memory: 4k page, physical 32862844k(11015288k free), swap 0k(0k free)
CommandLine flags: -XX:InitialHeapSize=134217728 -XX:MaxHeapSize=134217728 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:-UseAdaptiveSizePolicy -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseSerialGC 
254.727: [GC (Allocation Failure) 254.727: [DefNew: 35068K->199K(39296K), 0.0078958 secs] 80641K->45775K(126720K), 0.0080903 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
255.038: [GC (Allocation Failure) 255.038: [DefNew: 35143K->245K(39296K), 0.0077312 secs] 80719K->45821K(126720K), 0.0079597 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
255.310: [GC (Allocation Failure) 255.310: [DefNew: 35189K->271K(39296K), 0.0077777 secs] 80765K->45847K(126720K), 0.0079952 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
255.568: [GC (Allocation Failure) 255.568: [DefNew: 35215K->282K(39296K), 0.0076059 secs] 80791K->45859K(126720K), 0.0078020 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
255.839: [GC (Allocation Failure) 255.839: [DefNew: 35226K->285K(39296K), 0.0075596 secs] 80803K->45862K(126720K), 0.0077608 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
256.125: [GC (Allocation Failure) 256.125: [DefNew: 35229K->282K(39296K), 0.0075116 secs] 80806K->45860K(126720K), 0.0077046 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
256.378: [GC (Allocation Failure) 256.378: [DefNew: 35226K->280K(39296K), 0.0077223 secs] 80804K->45857K(126720K), 0.0079129 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
256.624: [GC (Allocation Failure) 256.624: [DefNew: 35224K->276K(39296K), 0.0076031 secs] 80801K->45854K(126720K), 0.0077971 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
256.873: [GC (Allocation Failure) 256.873: [DefNew: 35220K->276K(39296K), 0.0074862 secs] 80798K->45853K(126720K), 0.0076784 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
257.112: [GC (Allocation Failure) 257.112: [DefNew: 35220K->284K(39296K), 0.0082056 secs] 80797K->45861K(126720K), 0.0084086 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
257.353: [GC (Allocation Failure) 257.353: [DefNew: 35228K->282K(39296K), 0.0075878 secs] 80805K->45859K(126720K), 0.0077783 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
257.667: [GC (Allocation Failure) 257.667: [DefNew: 35226K->282K(39296K), 0.0075793 secs] 80803K->45860K(126720K), 0.0077811 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
